Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2005-2006,17,Lyon,1. Champions Lg,QF,1,1,89,1.0,1,0,1,0,0,0,0,1.01,0.00,1.01,1.01,1.01,,,,,,,,,,Matches
2006-2007,18,Lyon,1. Champions Lg,R16,3,1,101,1.1,2,0,2,0,0,0,0,1.78,0.00,1.78,1.78,1.78,,,,,,,,,,Matches
2007-2008,19,Lyon,1. Champions Lg,R16,7,7,592,6.6,4,0,4,0,0,0,0,0.61,0.00,0.61,0.61,0.61,,,,,,,,,,Matches
2008-2009,20,Lyon,1. Champions Lg,R16,8,8,702,7.8,5,2,5,0,0,1,0,0.64,0.26,0.90,0.64,0.90,,,,,,,,,,Matches
2009-2010,21,Real Madrid,1. Champions Lg,R16,5,3,315,3.5,1,1,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,,,,,,,,,,Matches
2010-2011,22,Real Madrid,1. Champions Lg,SF,8,4,371,4.1,6,1,6,0,0,0,0,1.46,0.24,1.70,1.46,1.70,,,,,,,,,,Matches
2011-2012,23,Real Madrid,1. Champions Lg,SF,11,10,760,8.4,7,5,7,0,0,0,0,0.83,0.59,1.42,0.83,1.42,,,,,,,,,,Matches
2012-2013,24,Real Madrid,1. Champions Lg,SF,10,6,532,5.9,5,4,5,0,0,0,0,0.85,0.68,1.52,0.85,1.52,,,,,,,,,,Matches
2013-2014,25,Real Madrid,1. Champions Lg,W,11,11,912,10.1,5,5,5,0,0,1,0,0.49,0.49,0.99,0.49,0.99,,,,,,,,,,Matches
2014-2015,26,Real Madrid,1. Champions Lg,SF,9,8,664,7.4,6,2,6,0,0,0,0,0.81,0.27,1.08,0.81,1.08,,,,,,,,,,Matches
2014-2015,26,Real Madrid,Super Cup,1st,1,1,90,1.0,0,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,,,,,,,,,,Matches
2015-2016,27,Real Madrid,1. Champions Lg,W,9,8,604,6.7,4,0,4,0,0,0,0,0.60,0.00,0.60,0.60,0.60,,,,,,,,,,Matches
2016-2017,28,Real Madrid,1. Champions Lg,W,13,12,954,10.6,5,2,5,0,0,0,0,0.47,0.19,0.66,0.47,0.66,,,,,,,,,,Matches
2016-2017,28,Real Madrid,Super Cup,1st,1,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2017-2018,29,Real Madrid,1. Champions Lg,W,9,8,600,6.7,5,0,5,0,0,0,0,0.75,0.00,0.75,0.75,0.75,,,,,,,,,,Matches
2017-2018,29,Real Madrid,Super Cup,1st,1,1,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
2018-2019,30,Real Madrid,1. Champions Lg,R16,8,8,582,6.5,4,2,4,0,0,0,0,0.62,0.31,0.93,0.62,0.93,2.0,2.0,1.2,3.2,0.31,0.18,0.49,0.31,0.49,Matches
2018-2019,30,Real Madrid,Super Cup,2nd,1,1,120,1.3,1,0,1,0,0,0,0,0.75,0.00,0.75,0.75,0.75,,,,,,,,,,Matches
2019-2020,31,Real Madrid,1. Champions Lg,R16,8,7,644,7.2,5,2,5,0,0,0,0,0.70,0.28,0.98,0.70,0.98,5.5,5.5,3.1,8.6,0.77,0.43,1.20,0.77,1.20,Matches
2020-2021,32,Real Madrid,1. Champions Lg,SF,10,9,840,9.3,6,0,6,0,0,0,0,0.64,0.00,0.64,0.64,0.64,5.0,5.0,1.8,6.8,0.54,0.20,0.73,0.54,0.73,Matches
2021-2022,33,Real Madrid,1. Champions Lg,1st,12,12,1102,12.2,15,1,12,3,3,1,0,1.23,0.08,1.31,0.98,1.06,8.6,6.3,2.7,9.0,0.70,0.22,0.92,0.52,0.74,Matches