Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2015-2016,16,Monaco,fr FRA,1. Coupe de la Ligue,9th,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2016-2017,17,Monaco,fr FRA,Coupe de France,3rd,0,0,,,,,,,,,,,,,,,Matches
2016-2017,17,Monaco,fr FRA,1. Coupe de la Ligue,2nd,3,3,266,3.0,3,0,3,0,0,0,0,1.02,0.00,1.02,1.02,1.02,Matches
2017-2018,18,Monaco,fr FRA,Trophée des Champions,2nd,1,1,70,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2017-2018,18,Paris S-G,fr FRA,Coupe de France,1st,5,5,396,4.4,4,3,4,0,0,0,0,0.91,0.68,1.59,0.91,1.59,Matches
2017-2018,18,Paris S-G,fr FRA,1. Coupe de la Ligue,1st,4,3,254,2.8,0,2,0,0,0,0,1,0.00,0.71,0.71,0.00,0.71,Matches
2018-2019,19,Paris S-G,fr FRA,Coupe de France,2nd,4,3,356,4.0,2,3,0,2,3,0,1,0.51,0.76,1.26,0.00,0.76,Matches
2018-2019,19,Paris S-G,fr FRA,1. Coupe de la Ligue,5th,2,1,122,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2019-2020,20,Paris S-G,fr FRA,Coupe de France,1st,3,3,212,2.4,4,1,4,0,0,1,0,1.70,0.42,2.12,1.70,2.12,Matches
2019-2020,20,Paris S-G,fr FRA,1. Coupe de la Ligue,1st,3,3,247,2.7,2,3,2,0,0,1,0,0.73,1.09,1.82,0.73,1.82,Matches
2019-2020,20,Paris S-G,fr FRA,Trophée des Champions,1st,1,1,90,1.0,1,0,1,0,0,1,0,1.00,0.00,1.00,1.00,1.00,Matches
2020-2021,21,Paris S-G,fr FRA,Coupe de France,1st,5,3,344,3.8,7,1,6,1,1,1,0,1.83,0.26,2.09,1.57,1.83,Matches
2020-2021,21,Paris S-G,fr FRA,Trophée des Champions,1st,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
2021-2022,22,Paris S-G,fr FRA,Coupe de France,R16,3,2,237,2.6,5,0,4,1,1,0,0,1.90,0.00,1.90,1.52,1.52,Matches