Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2011-2012,19,Metz,fr FRA,2. Ligue 2,18th,19,12,1176,13.1,1,1,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,,,,,,,,,,
2012-2013,20,RB Salzburg,at AUT,1. Bundesliga,2nd,26,25,2121,23.6,16,8,16,0,0,7,1,0.68,0.34,1.02,0.68,1.02,,,,,,,,,,
2013-2014,21,RB Salzburg,at AUT,1. Bundesliga,1st,33,30,2511,27.9,13,12,13,0,0,6,1,0.47,0.43,0.90,0.47,0.90,,,,,,,,,,Matches
2014-2015,22,RB Salzburg,at AUT,1. Bundesliga,1st,4,4,294,3.3,2,3,2,0,0,1,1,0.61,0.92,1.53,0.61,1.53,,,,,,,,,,Matches
2014-2015,22,Southampton,eng ENG,1. Premier League,7th,30,24,2132,23.7,10,3,10,0,0,5,0,0.42,0.13,0.55,0.42,0.55,,,,,,,,,,Matches
2015-2016,23,Southampton,eng ENG,1. Premier League,6th,37,30,2597,28.9,11,6,11,0,1,5,2,0.38,0.21,0.59,0.38,0.59,,,,,,,,,,Matches
2016-2017,24,Liverpool,eng ENG,1. Premier League,4th,27,26,2235,24.8,13,5,13,0,0,4,0,0.52,0.20,0.72,0.52,0.72,,,,,,,,,,Matches
2017-2018,25,Liverpool,eng ENG,1. Premier League,4th,29,28,2190,24.3,10,7,10,0,0,3,1,0.41,0.29,0.70,0.41,0.70,10.4,10.4,4.9,15.3,0.43,0.20,0.63,0.43,0.63,Matches
2018-2019,26,Liverpool,eng ENG,1. Premier League,2nd,36,35,3077,34.2,22,1,22,0,0,2,0,0.64,0.03,0.67,0.64,0.67,17.3,17.3,4.4,21.7,0.51,0.13,0.63,0.51,0.63,Matches
2019-2020,27,Liverpool,eng ENG,1. Premier League,1st,35,31,2747,30.5,18,7,18,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.8,13.8,7.3,21.0,0.45,0.24,0.69,0.45,0.69,Matches
2020-2021,28,Liverpool,eng ENG,1. Premier League,3rd,35,31,2810,31.2,11,7,11,0,0,3,0,0.35,0.22,0.58,0.35,0.58,15.2,15.2,5.7,20.9,0.49,0.18,0.67,0.49,0.67,Matches
2021-2022,29,Liverpool,eng ENG,1. Premier League,2nd,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67,Matches